OBJECTID,VALUE,AREA,PERIMETER,THICKNESS,XCENTROID,YCENTROID,MAJORAXIS,MINORAXIS,ORIENTATION
932,986,753.9664917,109.8338013,13.72922516,375023.125,4045175.5,15.4917717,15.4917717,90
933,987,10555.53125,604.0859375,41.18767548,411711.5313,4044669.5,90.84308624,36.98608017,163.4880676
934,988,1507.932983,164.7507019,13.72922516,411954.7188,4044722.5,30.9835434,15.4917717,90
935,989,3769.83252,329.5014038,13.72922516,412146.9375,4044681.25,56.0497551,21.40910149,148.2825317
936,990,10555.53125,549.1690063,41.18767548,412396.0313,4044654,80.34034729,41.82120132,64.96974945
937,991,753.9664917,109.8338013,13.72922516,414178.875,4044708.75,15.4917717,15.4917717,90
938,992,753.9664917,109.8338013,13.72922516,415139.9063,4044681.25,15.4917717,15.4917717,90
939,993,753.9664917,109.8338013,13.72922516,416046.0313,4044681.25,15.4917717,15.4917717,90
940,994,753.9664917,109.8338013,13.72922516,375242.7813,4045148.25,15.4917717,15.4917717,90
941,995,1507.932983,164.7507019,13.72922516,375833.125,4045148.25,30.9835434,15.4917717,0
942,996,2261.899414,219.6676025,13.72922516,376011.625,4045120.75,53.66506958,13.4162674,90
943,997,753.9664917,109.8338013,13.72922516,415908.75,4044654,15.4917717,15.4917717,90
944,998,753.9664917,109.8338013,13.72922516,416293.1563,4044654,15.4917717,15.4917717,90
945,999,753.9664917,109.8338013,13.72922516,374281.75,4045120.75,15.4917717,15.4917717,90
946,1000,18095.19531,1153.254883,13.72922516,374517.4375,4045033.75,99.31172943,57.99798203,92.02641296
947,1001,753.9664917,109.8338013,13.72922516,375023.125,4045120.75,15.4917717,15.4917717,90
948,1002,753.9664917,109.8338013,13.72922516,375764.5,4045120.75,15.4917717,15.4917717,90
949,1003,7539.665039,439.3352051,13.72922516,411531.875,4044601.75,90.63560486,26.4791069,83.97871399
950,1004,1507.932983,164.7507019,13.72922516,412023.375,4044654,30.9835434,15.4917717,0
951,1005,3015.865967,274.5845032,13.72922516,412497.0313,4044619.5,48.49186707,19.7967205,71.56504822
952,1006,1507.932983,164.7507019,13.72922516,414316.1563,4044640.25,30.9835434,15.4917717,90
953,1007,1507.932983,164.7507019,13.72922516,415345.8438,4044626.5,30.9835434,15.4917717,0
954,1008,3015.865967,274.5845032,13.72922516,416203.9375,4044605.75,48.49186707,19.7967205,161.5650482
955,1009,2261.899414,219.6676025,13.72922516,420036.6563,4044589.75,35.31360245,20.38831902,45
956,1010,1507.932983,164.7507019,13.72922516,372620.5,4045120.75,30.9835434,15.4917717,0
957,1011,753.9664917,109.8338013,13.72922516,374666.1563,4045093.25,15.4917717,15.4917717,90
958,1012,1507.932983,164.7507019,13.72922516,374734.8125,4045093.25,30.9835434,15.4917717,0
959,1014,753.9664917,109.8338013,13.72922516,375544.8125,4045093.25,15.4917717,15.4917717,90
960,1015,753.9664917,109.8338013,13.72922516,375627.1875,4045093.25,15.4917717,15.4917717,90
961,1017,753.9664917,109.8338013,13.72922516,375929.25,4045065.75,15.4917717,15.4917717,90
962,1018,753.9664917,109.8338013,13.72922516,412201.8438,4044626.5,15.4917717,15.4917717,90
963,1019,1507.932983,164.7507019,13.72922516,414398.5313,4044585.25,30.9835434,15.4917717,90
964,1020,753.9664917,109.8338013,13.72922516,415194.8125,4044599,15.4917717,15.4917717,90
965,1021,753.9664917,109.8338013,13.72922516,375132.9375,4045065.75,15.4917717,15.4917717,90
